id,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
7770,male,25-34 years,70,804000,8.71,Ecuador1991,,"16,988,535,268",1869,Boomers
7771,male,75+ years,5,68100,7.34,Ecuador1991,,"16,988,535,268",1869,G.I. Generation
7772,female,25-34 years,35,792300,4.42,Ecuador1991,,"16,988,535,268",1869,Boomers
7773,female,55-74 years,9,392100,2.3,Ecuador1991,,"16,988,535,268",1869,Silent
7774,female,35-54 years,18,903600,1.99,Ecuador1991,,"16,988,535,268",1869,Boomers
7775,female,75+ years,1,86400,1.16,Ecuador1991,,"16,988,535,268",1869,G.I. Generation
7776,female,5-14 years,9,1294500,0.7,Ecuador1991,,"16,988,535,268",1869,Millenials
7777,male,5-14 years,3,1334000,0.22,Ecuador1991,,"16,988,535,268",1869,Millenials
7778,male,75+ years,12,77846,15.42,Ecuador1992,,"18,094,238,119",1955,G.I. Generation
7779,male,25-34 years,91,833688,10.92,Ecuador1992,,"18,094,238,119",1955,Boomers
7780,male,55-74 years,40,380709,10.51,Ecuador1992,,"18,094,238,119",1955,Silent
7781,male,15-24 years,114,1095624,10.41,Ecuador1992,,"18,094,238,119",1955,Generation X
7782,female,15-24 years,92,1071397,8.59,Ecuador1992,,"18,094,238,119",1955,Generation X
7783,male,35-54 years,69,945954,7.29,Ecuador1992,,"18,094,238,119",1955,Boomers
7784,female,25-34 years,40,825399,4.85,Ecuador1992,,"18,094,238,119",1955,Boomers
7785,female,75+ years,3,95162,3.15,Ecuador1992,,"18,094,238,119",1955,G.I. Generation
7786,female,35-54 years,20,954268,2.1,Ecuador1992,,"18,094,238,119",1955,Boomers
7787,female,5-14 years,13,1264449,1.03,Ecuador1992,,"18,094,238,119",1955,Millenials
7788,female,55-74 years,4,404377,0.99,Ecuador1992,,"18,094,238,119",1955,Silent
7789,male,5-14 years,7,1304282,0.54,Ecuador1992,,"18,094,238,119",1955,Millenials
7790,female,15-24 years,131,1090454,12.01,Ecuador1993,,"18,938,717,359",1996,Generation X
7791,male,25-34 years,102,857646,11.89,Ecuador1993,,"18,938,717,359",1996,Boomers
7792,male,55-74 years,46,392963,11.71,Ecuador1993,,"18,938,717,359",1996,Silent
7793,male,15-24 years,105,1115135,9.42,Ecuador1993,,"18,938,717,359",1996,Generation X
7794,male,35-54 years,89,981892,9.06,Ecuador1993,,"18,938,717,359",1996,Boomers
7795,female,25-34 years,40,849600,4.71,Ecuador1993,,"18,938,717,359",1996,Boomers
7796,male,75+ years,3,80952,3.71,Ecuador1993,,"18,938,717,359",1996,G.I. Generation
7797,female,35-54 years,32,991346,3.23,Ecuador1993,,"18,938,717,359",1996,Boomers
7798,female,75+ years,2,98838,2.02,Ecuador1993,,"18,938,717,359",1996,G.I. Generation
7799,female,55-74 years,8,417711,1.92,Ecuador1993,,"18,938,717,359",1996,Silent
7800,female,5-14 years,9,1285346,0.7,Ecuador1993,,"18,938,717,359",1996,Millenials
7801,male,5-14 years,7,1326600,0.53,Ecuador1993,,"18,938,717,359",1996,Millenials
7802,male,75+ years,10,83900,11.92,Ecuador1994,,"22,708,673,337",2335,G.I. Generation
7803,male,25-34 years,96,881672,10.89,Ecuador1994,,"22,708,673,337",2335,Boomers
7804,male,35-54 years,96,1018423,9.43,Ecuador1994,,"22,708,673,337",2335,Boomers
7805,male,55-74 years,36,406131,8.86,Ecuador1994,,"22,708,673,337",2335,Silent
7806,female,15-24 years,95,1108840,8.57,Ecuador1994,,"22,708,673,337",2335,Generation X
7807,male,15-24 years,91,1134121,8.02,Ecuador1994,,"22,708,673,337",2335,Generation X
7808,female,25-34 years,39,873910,4.46,Ecuador1994,,"22,708,673,337",2335,Boomers
7809,female,35-54 years,21,1029098,2.04,Ecuador1994,,"22,708,673,337",2335,Boomers
7810,female,75+ years,1,102472,0.98,Ecuador1994,,"22,708,673,337",2335,G.I. Generation
7811,female,5-14 years,12,1306032,0.92,Ecuador1994,,"22,708,673,337",2335,Millenials
7812,male,5-14 years,12,1348611,0.89,Ecuador1994,,"22,708,673,337",2335,Millenials
7813,female,55-74 years,3,432045,0.69,Ecuador1994,,"22,708,673,337",2335,Silent
7814,male,25-34 years,97,905313,10.71,Ecuador1995,0.665,"24,432,884,442",2453,Generation X
7815,male,15-24 years,113,1152675,9.8,Ecuador1995,0.665,"24,432,884,442",2453,Generation X
7816,male,55-74 years,41,420246,9.76,Ecuador1995,0.665,"24,432,884,442",2453,Silent
7817,male,35-54 years,101,1055363,9.57,Ecuador1995,0.665,"24,432,884,442",2453,Boomers
7818,male,75+ years,8,86756,9.22,Ecuador1995,0.665,"24,432,884,442",2453,G.I. Generation
7819,female,15-24 years,95,1126655,8.43,Ecuador1995,0.665,"24,432,884,442",2453,Generation X
7820,female,25-34 years,43,897847,4.79,Ecuador1995,0.665,"24,432,884,442",2453,Generation X
7821,female,35-54 years,24,1067369,2.25,Ecuador1995,0.665,"24,432,884,442",2453,Boomers
7822,female,55-74 years,7,447404,1.56,Ecuador1995,0.665,"24,432,884,442",2453,Silent
7823,female,75+ years,1,106143,0.94,Ecuador1995,0.665,"24,432,884,442",2453,G.I. Generation
7824,female,5-14 years,10,1325533,0.75,Ecuador1995,0.665,"24,432,884,442",2453,Millenials
7825,male,5-14 years,6,1369259,0.44,Ecuador1995,0.665,"24,432,884,442",2453,Millenials
7826,male,55-74 years,53,434259,12.2,Ecuador1996,,"25,226,393,197",2474,Silent
7827,male,75+ years,11,91455,12.03,Ecuador1996,,"25,226,393,197",2474,G.I. Generation
7828,male,25-34 years,111,927403,11.97,Ecuador1996,,"25,226,393,197",2474,Generation X
7829,male,15-24 years,126,1169923,10.77,Ecuador1996,,"25,226,393,197",2474,Generation X
7830,female,15-24 years,102,1143710,8.92,Ecuador1996,,"25,226,393,197",2474,Generation X
7831,male,35-54 years,88,1091980,8.06,Ecuador1996,,"25,226,393,197",2474,Boomers
7832,female,25-34 years,46,920330,5.0,Ecuador1996,,"25,226,393,197",2474,Generation X
7833,female,55-74 years,9,462818,1.94,Ecuador1996,,"25,226,393,197",2474,Silent
7834,female,35-54 years,21,1105412,1.9,Ecuador1996,,"25,226,393,197",2474,Boomers
7835,female,75+ years,2,111706,1.79,Ecuador1996,,"25,226,393,197",2474,G.I. Generation
7836,female,5-14 years,17,1345854,1.26,Ecuador1996,,"25,226,393,197",2474,Millenials
7837,male,5-14 years,7,1390998,0.5,Ecuador1996,,"25,226,393,197",2474,Millenials
7838,male,25-34 years,109,949086,11.48,Ecuador1997,,"28,162,053,027",2701,Generation X
7839,male,15-24 years,124,1186873,10.45,Ecuador1997,,"28,162,053,027",2701,Generation X
7840,male,75+ years,9,95968,9.38,Ecuador1997,,"28,162,053,027",2701,G.I. Generation
7841,male,35-54 years,99,1128260,8.77,Ecuador1997,,"28,162,053,027",2701,Boomers
7842,female,15-24 years,101,1160292,8.7,Ecuador1997,,"28,162,053,027",2701,Generation X
7843,male,55-74 years,35,449276,7.79,Ecuador1997,,"28,162,053,027",2701,Silent
7844,female,25-34 years,33,942471,3.5,Ecuador1997,,"28,162,053,027",2701,Generation X
7845,female,35-54 years,24,1143235,2.1,Ecuador1997,,"28,162,053,027",2701,Boomers
7846,female,5-14 years,24,1364640,1.76,Ecuador1997,,"28,162,053,027",2701,Millenials
7847,female,55-74 years,6,479370,1.25,Ecuador1997,,"28,162,053,027",2701,Silent
7848,male,5-14 years,14,1411124,0.99,Ecuador1997,,"28,162,053,027",2701,Millenials
7849,female,75+ years,1,117178,0.85,Ecuador1997,,"28,162,053,027",2701,G.I. Generation
7850,male,25-34 years,113,970170,11.65,Ecuador1998,,"27,981,896,948",2626,Generation X
7851,male,15-24 years,122,1204061,10.13,Ecuador1998,,"27,981,896,948",2626,Generation X
7852,female,15-24 years,102,1176841,8.67,Ecuador1998,,"27,981,896,948",2626,Generation X
7853,male,75+ years,8,100363,7.97,Ecuador1998,,"27,981,896,948",2626,G.I. Generation
7854,male,35-54 years,87,1164711,7.47,Ecuador1998,,"27,981,896,948",2626,Boomers
7855,male,55-74 years,29,464944,6.24,Ecuador1998,,"27,981,896,948",2626,Silent
7856,female,25-34 years,29,964037,3.01,Ecuador1998,,"27,981,896,948",2626,Generation X
7857,female,75+ years,3,122653,2.45,Ecuador1998,,"27,981,896,948",2626,G.I. Generation
7858,female,35-54 years,24,1181335,2.03,Ecuador1998,,"27,981,896,948",2626,Boomers
7859,male,5-14 years,14,1429190,0.98,Ecuador1998,,"27,981,896,948",2626,Millenials
7860,female,5-14 years,12,1381485,0.87,Ecuador1998,,"27,981,896,948",2626,Millenials
7861,female,55-74 years,3,496656,0.6,Ecuador1998,,"27,981,896,948",2626,Silent
7862,male,75+ years,13,104728,12.41,Ecuador1999,,"19,645,272,636",1805,G.I. Generation
7863,male,15-24 years,138,1222195,11.29,Ecuador1999,,"19,645,272,636",1805,Generation X
7864,male,25-34 years,103,990403,10.4,Ecuador1999,,"19,645,272,636",1805,Generation X
7865,male,55-74 years,45,480747,9.36,Ecuador1999,,"19,645,272,636",1805,Silent
7866,male,35-54 years,105,1202249,8.73,Ecuador1999,,"19,645,272,636",1805,Boomers
7867,female,15-24 years,96,1194004,8.04,Ecuador1999,,"19,645,272,636",1805,Generation X
7868,female,25-34 years,37,984732,3.76,Ecuador1999,,"19,645,272,636",1805,Generation X
7869,female,35-54 years,27,1220621,2.21,Ecuador1999,,"19,645,272,636",1805,Boomers
7870,female,55-74 years,11,514092,2.14,Ecuador1999,,"19,645,272,636",1805,Silent
7871,male,5-14 years,22,1445034,1.52,Ecuador1999,,"19,645,272,636",1805,Millenials
7872,female,5-14 years,18,1396226,1.29,Ecuador1999,,"19,645,272,636",1805,Millenials
7873,female,75+ years,1,128252,0.78,Ecuador1999,,"19,645,272,636",1805,G.I. Generation
7874,male,15-24 years,132,1241587,10.63,Ecuador2000,0.674,"18,327,764,882",1650,Generation X
7875,male,25-34 years,84,1009657,8.32,Ecuador2000,0.674,"18,327,764,882",1650,Generation X
7876,male,35-54 years,101,1241310,8.14,Ecuador2000,0.674,"18,327,764,882",1650,Boomers
7877,male,75+ years,8,109133,7.33,Ecuador2000,0.674,"18,327,764,882",1650,G.I. Generation
7878,male,55-74 years,30,496455,6.04,Ecuador2000,0.674,"18,327,764,882",1650,Silent
7879,female,15-24 years,73,1212096,6.02,Ecuador2000,0.674,"18,327,764,882",1650,Generation X
7880,female,25-34 years,45,1004357,4.48,Ecuador2000,0.674,"18,327,764,882",1650,Generation X
7881,female,35-54 years,23,1261528,1.82,Ecuador2000,0.674,"18,327,764,882",1650,Boomers
7882,female,55-74 years,9,531381,1.69,Ecuador2000,0.674,"18,327,764,882",1650,Silent
7883,male,5-14 years,16,1458807,1.1,Ecuador2000,0.674,"18,327,764,882",1650,Millenials
7884,female,5-14 years,12,1408985,0.85,Ecuador2000,0.674,"18,327,764,882",1650,Millenials
7885,female,75+ years,1,134087,0.75,Ecuador2000,0.674,"18,327,764,882",1650,G.I. Generation
7886,male,75+ years,15,114564,13.09,Ecuador2001,,"24,468,324,000",2160,Silent
7887,male,15-24 years,130,1259528,10.32,Ecuador2001,,"24,468,324,000",2160,Millenials
7888,male,25-34 years,101,1026201,9.84,Ecuador2001,,"24,468,324,000",2160,Generation X
7889,male,35-54 years,99,1281560,7.72,Ecuador2001,,"24,468,324,000",2160,Boomers
7890,male,55-74 years,39,510933,7.63,Ecuador2001,,"24,468,324,000",2160,Silent
7891,female,15-24 years,86,1229361,7.0,Ecuador2001,,"24,468,324,000",2160,Millenials
7892,female,25-34 years,38,1021003,3.72,Ecuador2001,,"24,468,324,000",2160,Generation X
7893,female,35-54 years,32,1303530,2.45,Ecuador2001,,"24,468,324,000",2160,Boomers
7894,female,55-74 years,10,547445,1.83,Ecuador2001,,"24,468,324,000",2160,Silent
7895,female,75+ years,2,140505,1.42,Ecuador2001,,"24,468,324,000",2160,Silent
7896,female,5-14 years,17,1421482,1.2,Ecuador2001,,"24,468,324,000",2160,Millenials
7897,male,5-14 years,15,1472216,1.02,Ecuador2001,,"24,468,324,000",2160,Millenials
7898,male,15-24 years,132,1279199,10.32,Ecuador2002,,"28,548,945,000",2472,Millenials
7899,male,75+ years,12,119896,10.01,Ecuador2002,,"28,548,945,000",2472,Silent
7900,male,25-34 years,89,1041783,8.54,Ecuador2002,,"28,548,945,000",2472,Generation X
7901,male,35-54 years,109,1323268,8.24,Ecuador2002,,"28,548,945,000",2472,Boomers
7902,male,55-74 years,39,525419,7.42,Ecuador2002,,"28,548,945,000",2472,Silent
7903,female,15-24 years,91,1248096,7.29,Ecuador2002,,"28,548,945,000",2472,Millenials
7904,female,25-34 years,31,1036659,2.99,Ecuador2002,,"28,548,945,000",2472,Generation X
7905,female,35-54 years,27,1347026,2.0,Ecuador2002,,"28,548,945,000",2472,Boomers
7906,female,5-14 years,23,1432629,1.61,Ecuador2002,,"28,548,945,000",2472,Millenials
7907,female,55-74 years,7,563516,1.24,Ecuador2002,,"28,548,945,000",2472,Silent
7908,male,5-14 years,16,1484308,1.08,Ecuador2002,,"28,548,945,000",2472,Millenials
7909,female,75+ years,1,146971,0.68,Ecuador2002,,"28,548,945,000",2472,Silent
7910,male,35-54 years,148,1365415,10.84,Ecuador2003,,"32,432,858,000",2755,Boomers
7911,male,15-24 years,138,1300272,10.61,Ecuador2003,,"32,432,858,000",2755,Millenials
7912,female,15-24 years,120,1267956,9.46,Ecuador2003,,"32,432,858,000",2755,Millenials
7913,male,25-34 years,96,1056829,9.08,Ecuador2003,,"32,432,858,000",2755,Generation X
7914,male,55-74 years,49,540808,9.06,Ecuador2003,,"32,432,858,000",2755,Silent
7915,male,75+ years,11,125204,8.79,Ecuador2003,,"32,432,858,000",2755,Silent
7916,female,25-34 years,47,1051741,4.47,Ecuador2003,,"32,432,858,000",2755,Generation X
7917,female,75+ years,5,153579,3.26,Ecuador2003,,"32,432,858,000",2755,Silent
7918,female,35-54 years,23,1390993,1.65,Ecuador2003,,"32,432,858,000",2755,Boomers
7919,female,5-14 years,20,1442546,1.39,Ecuador2003,,"32,432,858,000",2755,Millenials
7920,female,55-74 years,7,580521,1.21,Ecuador2003,,"32,432,858,000",2755,Silent
7921,male,5-14 years,11,1495138,0.74,Ecuador2003,,"32,432,858,000",2755,Millenials
7922,male,75+ years,17,130553,13.02,Ecuador2004,,"36,591,661,000",3051,Silent
7923,male,25-34 years,137,1071828,12.78,Ecuador2004,,"36,591,661,000",3051,Generation X
7924,male,15-24 years,165,1321925,12.48,Ecuador2004,,"36,591,661,000",3051,Millenials
7925,male,55-74 years,68,558388,12.18,Ecuador2004,,"36,591,661,000",3051,Silent
7926,female,15-24 years,127,1288166,9.86,Ecuador2004,,"36,591,661,000",3051,Millenials
7927,male,35-54 years,138,1406412,9.81,Ecuador2004,,"36,591,661,000",3051,Boomers
7928,female,25-34 years,36,1066713,3.37,Ecuador2004,,"36,591,661,000",3051,Generation X
7929,female,75+ years,5,160427,3.12,Ecuador2004,,"36,591,661,000",3051,Silent
7930,female,5-14 years,30,1451359,2.07,Ecuador2004,,"36,591,661,000",3051,Millenials
7931,male,5-14 years,30,1504779,1.99,Ecuador2004,,"36,591,661,000",3051,Millenials
7932,female,35-54 years,27,1433784,1.88,Ecuador2004,,"36,591,661,000",3051,Boomers
7933,female,55-74 years,11,599819,1.83,Ecuador2004,,"36,591,661,000",3051,Silent
7934,male,75+ years,23,136021,16.91,Ecuador2005,0.698,"41,507,085,000",3397,Silent
7935,male,15-24 years,206,1343527,15.33,Ecuador2005,0.698,"41,507,085,000",3397,Millenials
7936,male,25-34 years,150,1087218,13.8,Ecuador2005,0.698,"41,507,085,000",3397,Generation X
7937,male,35-54 years,197,1445306,13.63,Ecuador2005,0.698,"41,507,085,000",3397,Boomers
7938,male,55-74 years,73,578971,12.61,Ecuador2005,0.698,"41,507,085,000",3397,Silent
7939,female,15-24 years,140,1308175,10.7,Ecuador2005,0.698,"41,507,085,000",3397,Millenials
7940,female,25-34 years,44,1081983,4.07,Ecuador2005,0.698,"41,507,085,000",3397,Generation X
7941,female,35-54 years,35,1474429,2.37,Ecuador2005,0.698,"41,507,085,000",3397,Boomers
7942,male,5-14 years,34,1513146,2.25,Ecuador2005,0.698,"41,507,085,000",3397,Millenials
7943,female,55-74 years,13,622240,2.09,Ecuador2005,0.698,"41,507,085,000",3397,Silent
7944,female,5-14 years,26,1458992,1.78,Ecuador2005,0.698,"41,507,085,000",3397,Millenials
7945,female,75+ years,2,167635,1.19,Ecuador2005,0.698,"41,507,085,000",3397,Silent
7946,male,75+ years,23,140891,16.32,Ecuador2006,,"46,802,044,000",3759,Silent
7947,male,25-34 years,154,1105682,13.93,Ecuador2006,,"46,802,044,000",3759,Generation X
7948,male,55-74 years,74,601278,12.31,Ecuador2006,,"46,802,044,000",3759,Silent
7949,female,15-24 years,153,1327824,11.52,Ecuador2006,,"46,802,044,000",3759,Millenials
7950,male,15-24 years,156,1363891,11.44,Ecuador2006,,"46,802,044,000",3759,Millenials
7951,male,35-54 years,166,1486091,11.17,Ecuador2006,,"46,802,044,000",3759,Boomers
7952,female,25-34 years,49,1100246,4.45,Ecuador2006,,"46,802,044,000",3759,Generation X
7953,female,35-54 years,46,1516824,3.03,Ecuador2006,,"46,802,044,000",3759,Boomers
7954,female,55-74 years,18,646356,2.78,Ecuador2006,,"46,802,044,000",3759,Silent
7955,female,75+ years,4,173865,2.3,Ecuador2006,,"46,802,044,000",3759,Silent
7956,female,5-14 years,28,1465783,1.91,Ecuador2006,,"46,802,044,000",3759,Millenials
7957,male,5-14 years,29,1520643,1.91,Ecuador2006,,"46,802,044,000",3759,Millenials
7958,male,15-24 years,235,1383302,16.99,Ecuador2007,,"51,007,777,000",4024,Millenials
7959,male,55-74 years,92,626501,14.68,Ecuador2007,,"51,007,777,000",4024,Silent
7960,male,25-34 years,157,1123771,13.97,Ecuador2007,,"51,007,777,000",4024,Generation X
7961,male,75+ years,18,145654,12.36,Ecuador2007,,"51,007,777,000",4024,Silent
7962,male,35-54 years,184,1525177,12.06,Ecuador2007,,"51,007,777,000",4024,Boomers
7963,female,15-24 years,135,1346416,10.03,Ecuador2007,,"51,007,777,000",4024,Millenials
7964,female,25-34 years,53,1118153,4.74,Ecuador2007,,"51,007,777,000",4024,Generation X
7965,male,5-14 years,45,1526432,2.95,Ecuador2007,,"51,007,777,000",4024,Generation Z
7966,female,55-74 years,19,673563,2.82,Ecuador2007,,"51,007,777,000",4024,Silent
7967,female,35-54 years,42,1557413,2.7,Ecuador2007,,"51,007,777,000",4024,Boomers
7968,female,5-14 years,23,1470813,1.56,Ecuador2007,,"51,007,777,000",4024,Generation Z
7969,female,75+ years,2,180159,1.11,Ecuador2007,,"51,007,777,000",4024,Silent
7970,male,75+ years,31,150423,20.61,Ecuador2008,,"61,762,635,000",4787,Silent
7971,male,15-24 years,209,1401816,14.91,Ecuador2008,,"61,762,635,000",4787,Millenials
7972,male,25-34 years,170,1142009,14.89,Ecuador2008,,"61,762,635,000",4787,Generation X
7973,male,55-74 years,81,654092,12.38,Ecuador2008,,"61,762,635,000",4787,Silent
7974,male,35-54 years,158,1563128,10.11,Ecuador2008,,"61,762,635,000",4787,Boomers
7975,female,15-24 years,107,1363932,7.84,Ecuador2008,,"61,762,635,000",4787,Millenials
7976,female,25-34 years,48,1136196,4.22,Ecuador2008,,"61,762,635,000",4787,Generation X
7977,female,55-74 years,24,703291,3.41,Ecuador2008,,"61,762,635,000",4787,Silent
7978,female,35-54 years,53,1596786,3.32,Ecuador2008,,"61,762,635,000",4787,Boomers
7979,male,5-14 years,24,1530626,1.57,Ecuador2008,,"61,762,635,000",4787,Generation Z
7980,female,5-14 years,22,1474229,1.49,Ecuador2008,,"61,762,635,000",4787,Generation Z
7981,female,75+ years,1,186655,0.54,Ecuador2008,,"61,762,635,000",4787,Silent
7982,male,25-34 years,179,1161180,15.42,Ecuador2009,,"62,519,686,000",4762,Generation X
7983,male,55-74 years,103,683190,15.08,Ecuador2009,,"62,519,686,000",4762,Silent
7984,male,15-24 years,214,1419517,15.08,Ecuador2009,,"62,519,686,000",4762,Millenials
7985,male,75+ years,20,155307,12.88,Ecuador2009,,"62,519,686,000",4762,Silent
7986,male,35-54 years,180,1600987,11.24,Ecuador2009,,"62,519,686,000",4762,Boomers
7987,female,15-24 years,100,1380435,7.24,Ecuador2009,,"62,519,686,000",4762,Millenials
7988,female,75+ years,9,193481,4.65,Ecuador2009,,"62,519,686,000",4762,Silent
7989,female,25-34 years,48,1155088,4.16,Ecuador2009,,"62,519,686,000",4762,Generation X
7990,female,35-54 years,48,1636049,2.93,Ecuador2009,,"62,519,686,000",4762,Boomers
7991,female,55-74 years,20,734615,2.72,Ecuador2009,,"62,519,686,000",4762,Silent
7992,male,5-14 years,23,1533769,1.5,Ecuador2009,,"62,519,686,000",4762,Generation Z
7993,female,5-14 years,20,1476543,1.35,Ecuador2009,,"62,519,686,000",4762,Generation Z
7994,male,15-24 years,214,1436267,14.9,Ecuador2010,0.717,"69,555,367,000",5206,Millenials
7995,male,25-34 years,171,1181648,14.47,Ecuador2010,0.717,"69,555,367,000",5206,Generation X
7996,male,35-54 years,165,1639225,10.07,Ecuador2010,0.717,"69,555,367,000",5206,Generation X
7997,male,55-74 years,68,713198,9.53,Ecuador2010,0.717,"69,555,367,000",5206,Silent
7998,male,75+ years,14,160404,8.73,Ecuador2010,0.717,"69,555,367,000",5206,Silent
7999,female,15-24 years,113,1395797,8.1,Ecuador2010,0.717,"69,555,367,000",5206,Millenials
8000,female,25-34 years,60,1175139,5.11,Ecuador2010,0.717,"69,555,367,000",5206,Generation X
8001,female,75+ years,6,200768,2.99,Ecuador2010,0.717,"69,555,367,000",5206,Silent
8002,female,55-74 years,18,766861,2.35,Ecuador2010,0.717,"69,555,367,000",5206,Silent
8003,female,35-54 years,39,1675740,2.33,Ecuador2010,0.717,"69,555,367,000",5206,Generation X
8004,male,5-14 years,26,1536680,1.69,Ecuador2010,0.717,"69,555,367,000",5206,Generation Z
8005,female,5-14 years,18,1478558,1.22,Ecuador2010,0.717,"69,555,367,000",5206,Generation Z
8006,male,15-24 years,200,1449571,13.8,Ecuador2011,0.723,"79,276,664,000",5836,Millenials
8007,male,25-34 years,161,1202963,13.38,Ecuador2011,0.723,"79,276,664,000",5836,Millenials
8008,male,55-74 years,83,741610,11.19,Ecuador2011,0.723,"79,276,664,000",5836,Boomers
8009,male,75+ years,18,166244,10.83,Ecuador2011,0.723,"79,276,664,000",5836,Silent
8010,male,35-54 years,160,1677115,9.54,Ecuador2011,0.723,"79,276,664,000",5836,Generation X
8011,female,15-24 years,120,1408696,8.52,Ecuador2011,0.723,"79,276,664,000",5836,Millenials
8012,female,25-34 years,51,1195816,4.26,Ecuador2011,0.723,"79,276,664,000",5836,Millenials
8013,female,35-54 years,45,1715068,2.62,Ecuador2011,0.723,"79,276,664,000",5836,Generation X
8014,female,5-14 years,32,1480934,2.16,Ecuador2011,0.723,"79,276,664,000",5836,Generation Z
8015,male,5-14 years,32,1539867,2.08,Ecuador2011,0.723,"79,276,664,000",5836,Generation Z
8016,female,75+ years,4,208097,1.92,Ecuador2011,0.723,"79,276,664,000",5836,Silent
8017,female,55-74 years,12,797572,1.5,Ecuador2011,0.723,"79,276,664,000",5836,Boomers
8018,male,15-24 years,240,1462193,16.41,Ecuador2012,0.727,"87,924,544,000",6364,Millenials
8019,male,25-34 years,164,1225594,13.38,Ecuador2012,0.727,"87,924,544,000",6364,Millenials
8020,male,55-74 years,87,771426,11.28,Ecuador2012,0.727,"87,924,544,000",6364,Boomers
8021,male,75+ years,19,172083,11.04,Ecuador2012,0.727,"87,924,544,000",6364,Silent
8022,male,35-54 years,162,1715827,9.44,Ecuador2012,0.727,"87,924,544,000",6364,Generation X
8023,female,15-24 years,118,1420727,8.31,Ecuador2012,0.727,"87,924,544,000",6364,Millenials
8024,female,25-34 years,55,1217762,4.52,Ecuador2012,0.727,"87,924,544,000",6364,Millenials
8025,female,35-54 years,48,1755189,2.73,Ecuador2012,0.727,"87,924,544,000",6364,Generation X
8026,male,5-14 years,39,1544899,2.52,Ecuador2012,0.727,"87,924,544,000",6364,Generation Z
8027,female,75+ years,4,215613,1.86,Ecuador2012,0.727,"87,924,544,000",6364,Silent
8028,female,5-14 years,27,1484824,1.82,Ecuador2012,0.727,"87,924,544,000",6364,Generation Z
8029,female,55-74 years,13,829724,1.57,Ecuador2012,0.727,"87,924,544,000",6364,Boomers
8030,male,75+ years,23,178094,12.91,Ecuador2013,0.73,"95,129,659,000",6769,Silent
8031,male,15-24 years,156,1473845,10.58,Ecuador2013,0.73,"95,129,659,000",6769,Millenials
8032,male,25-34 years,111,1248815,8.89,Ecuador2013,0.73,"95,129,659,000",6769,Millenials
8033,male,55-74 years,65,802441,8.1,Ecuador2013,0.73,"95,129,659,000",6769,Boomers
8034,female,15-24 years,89,1431562,6.22,Ecuador2013,0.73,"95,129,659,000",6769,Millenials
8035,male,35-54 years,106,1755019,6.04,Ecuador2013,0.73,"95,129,659,000",6769,Generation X
8036,female,25-34 years,30,1240273,2.42,Ecuador2013,0.73,"95,129,659,000",6769,Millenials
8037,male,5-14 years,29,1551821,1.87,Ecuador2013,0.73,"95,129,659,000",6769,Generation Z
8038,female,35-54 years,32,1795728,1.78,Ecuador2013,0.73,"95,129,659,000",6769,Generation X
8039,female,55-74 years,12,863112,1.39,Ecuador2013,0.73,"95,129,659,000",6769,Boomers
8040,female,75+ years,3,223521,1.34,Ecuador2013,0.73,"95,129,659,000",6769,Silent
8041,female,5-14 years,20,1490382,1.34,Ecuador2013,0.73,"95,129,659,000",6769,Generation Z
8042,male,75+ years,25,184452,13.55,Ecuador2014,0.732,"101,726,331,000",7116,Silent
8043,male,15-24 years,164,1484064,11.05,Ecuador2014,0.732,"101,726,331,000",7116,Millenials
8044,male,25-34 years,123,1271545,9.67,Ecuador2014,0.732,"101,726,331,000",7116,Millenials
8045,male,55-74 years,74,834436,8.87,Ecuador2014,0.732,"101,726,331,000",7116,Boomers
8046,male,35-54 years,153,1794205,8.53,Ecuador2014,0.732,"101,726,331,000",7116,Generation X
8047,female,15-24 years,77,1440731,5.34,Ecuador2014,0.732,"101,726,331,000",7116,Millenials
8048,female,25-34 years,33,1262288,2.61,Ecuador2014,0.732,"101,726,331,000",7116,Millenials
8049,male,5-14 years,28,1560323,1.79,Ecuador2014,0.732,"101,726,331,000",7116,Generation Z
8050,female,55-74 years,16,897482,1.78,Ecuador2014,0.732,"101,726,331,000",7116,Boomers
8051,female,5-14 years,18,1497410,1.2,Ecuador2014,0.732,"101,726,331,000",7116,Generation Z
8052,female,35-54 years,22,1836144,1.2,Ecuador2014,0.732,"101,726,331,000",7116,Generation X
8053,female,75+ years,1,232065,0.43,Ecuador2014,0.732,"101,726,331,000",7116,Silent
8054,male,75+ years,40,191306,20.91,Ecuador2015,,"99,290,381,000",6832,Silent
8055,male,15-24 years,234,1492713,15.68,Ecuador2015,,"99,290,381,000",6832,Millenials
8056,male,25-34 years,185,1293193,14.31,Ecuador2015,,"99,290,381,000",6832,Millenials
8057,male,55-74 years,108,867314,12.45,Ecuador2015,,"99,290,381,000",6832,Boomers
8058,male,35-54 years,205,1833181,11.18,Ecuador2015,,"99,290,381,000",6832,Generation X
8059,female,15-24 years,110,1448112,7.6,Ecuador2015,,"99,290,381,000",6832,Millenials
8060,female,25-34 years,56,1283175,4.36,Ecuador2015,,"99,290,381,000",6832,Millenials
8061,female,35-54 years,46,1876229,2.45,Ecuador2015,,"99,290,381,000",6832,Generation X
8062,female,55-74 years,22,932718,2.36,Ecuador2015,,"99,290,381,000",6832,Boomers
